min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
27,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model035
27,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model035
40,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model036
40,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model036
2,5,1e-4,1e-10,rmse,standard,193714.90113066888,10,1806.979019268569,Model037
2,5,1e-4,1e-10,rsq,standard,0.7072270476544396,10,0.018633868140144682,Model037
14,5,1e-4,1e-10,rmse,standard,193711.49221867492,10,1806.5631169616015,Model038
14,5,1e-4,1e-10,rsq,standard,0.721302802152215,10,0.014176759355254481,Model038
27,5,1e-4,1e-10,rmse,standard,193711.23835575796,10,1806.909589550674,Model039
27,5,1e-4,1e-10,rsq,standard,0.7147146980460456,10,0.011307055703853297,Model039
40,5,1e-4,1e-10,rmse,standard,193713.53073787177,10,1806.9608479698788,Model040
40,5,1e-4,1e-10,rsq,standard,0.7189651470087234,10,0.013137936996054785,Model040
2,10,1e-4,1e-10,rmse,standard,193716.16500537557,10,1806.537975997652,Model041
2,10,1e-4,1e-10,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model041
14,10,1e-4,1e-10,rmse,standard,193711.6472856736,10,1806.8068239947947,Model042
14,10,1e-4,1e-10,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model042
27,10,1e-4,1e-10,rmse,standard,193710.7446153849,10,1807.0058452753005,Model043
27,10,1e-4,1e-10,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model043
40,10,1e-4,1e-10,rmse,standard,193712.56125692427,10,1806.6366388033357,Model044
40,10,1e-4,1e-10,rsq,standard,0.720887193432734,10,0.013143433551465168,Model044
2,15,1e-4,1e-10,rmse,standard,193716.16500537557,10,1806.537975997652,Model045
2,15,1e-4,1e-10,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model045
14,15,1e-4,1e-10,rmse,standard,193711.6472856736,10,1806.8068239947947,Model046
14,15,1e-4,1e-10,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model046
27,15,1e-4,1e-10,rmse,standard,193710.7446153849,10,1807.0058452753005,Model047
27,15,1e-4,1e-10,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model047
40,15,1e-4,1e-10,rmse,standard,193712.56125692427,10,1806.6366388033357,Model048
40,15,1e-4,1e-10,rsq,standard,0.720887193432734,10,0.013143433551465168,Model048
2,1,0.1,1e-10,rmse,standard,30552.15430465318,10,2300.0391472733536,Model049
2,1,0.1,1e-10,rsq,standard,0.8519528931273975,10,0.022227174819544317,Model049
14,1,0.1,1e-10,rmse,standard,29847.2672725016,10,1967.2868981528147,Model050
14,1,0.1,1e-10,rsq,standard,0.8582101264879699,10,0.016383488918893813,Model050
27,1,0.1,1e-10,rmse,standard,29342.665803492022,10,1821.798684322154,Model051
27,1,0.1,1e-10,rsq,standard,0.86367073655924,10,0.01285908941857927,Model051
40,1,0.1,1e-10,rmse,standard,29636.983868718024,10,1834.112963986105,Model052
40,1,0.1,1e-10,rsq,standard,0.8605422470400618,10,0.011563479843547792,Model052
2,5,0.1,1e-10,rmse,standard,27753.316676335977,10,2866.500322929167,Model053
2,5,0.1,1e-10,rsq,standard,0.8713856360583261,10,0.02666014700449069,Model053
14,5,0.1,1e-10,rmse,standard,27529.231404252034,10,2414.2244445380047,Model054
14,5,0.1,1e-10,rsq,standard,0.8746635109938051,10,0.01989810877818641,Model054
27,5,0.1,1e-10,rmse,standard,26517.606491285405,10,2027.2399419934604,Model055
27,5,0.1,1e-10,rsq,standard,0.8831140003166912,10,0.015887641845247137,Model055
40,5,0.1,1e-10,rmse,standard,26671.607483566848,10,1830.2444495835239,Model056
40,5,0.1,1e-10,rsq,standard,0.8830027546076047,10,0.012739303467915955,Model056
2,10,0.1,1e-10,rmse,standard,28371.264619228954,10,2637.172766611073,Model057
2,10,0.1,1e-10,rsq,standard,0.8654805362706742,10,0.026023146904892096,Model057
14,10,0.1,1e-10,rmse,standard,27934.67195162667,10,2470.282224068323,Model058
14,10,0.1,1e-10,rsq,standard,0.8719571625794392,10,0.020886666589603108,Model058
27,10,0.1,1e-10,rmse,standard,26620.120558845163,10,1978.816616110123,Model059
27,10,0.1,1e-10,rsq,standard,0.8821389851220305,10,0.015489218584878957,Model059
40,10,0.1,1e-10,rmse,standard,26578.84602702694,10,1792.9075857905596,Model060
